24/10/2023, 'Barnsley v Shrewsbury'],Exit position at minute 21.0 at level odds 1.28 - profit =,-0.4471,1.852333333,0.852333333,minute =,6,,,,
24/10/2023, 'Leicester v Sunderland'],Exit position at minute 17.0 at level odds 1.27 - profit =,-0.3278,1.686333333,0.686333333,minute =,10,,,,
24/10/2023, 'Man Utd v FC Copenhagen'],Exit position at minute 23.0 at level odds 1.39 - profit =,0.0284,1.3505,0.3505,minute =,6,,,,
25/10/2023, 'Paris St-G v AC Milan'],Exit position at minute 27.0 at level odds 2.1 - profit =,0.0584,1.977333333,0.977333333,minute =,20,,,,
25/10/2023, 'Newcastle v Dortmund'],Exit position at minute 28.0 at level odds 1.91 - profit =,0.1038,1.711666667,0.711666667,minute =,12,,,,
26/10/2023, 'Fenerbahce v Ludogorets'],Exit position at minute 33.0 at level odds 1.68 - profit =,0.0893,1.53,0.53,minute =,12,,,,
26/10/2023, 'Eintracht Frankfurt v HJK Helsinki'],Exit position at minute 15.0 at level odds 1.07 - profit =,-0.141,1.220833333,0.220833333,minute =,6,,,,
26/10/2023, 'Fenerbahce v Ludogorets'],Exit position at minute 33.0 at level odds 1.68 - profit =,0.1206,1.477333333,0.477333333,minute =,8,,,,
28/10/2023, 'Philadelphia v New England'],Exit position at minute 20.0 on home goal at odds 1.33 - profit =,-0.3888,1.847166667,0.847166667,minute =,12,,,,
28/10/2023, 'Lens v Nantes'],Exit position at minute 22.0 at level odds 1.9 - profit =,0.1145,1.6825,0.6825,minute =,6,,,,
5/11/2023, 'Kansas City v St Louis City SC'],Exit position at minute 25.0 at level odds 2.58 - profit =,0.2879,1.837166667,0.837166667,minute =,6,,,,
6/11/2023, 'Norrkoping v Varbergs BoIS'],Exit position at minute 34.0 at level odds 1.93 - profit =,0.162,1.617333333,0.617333333,minute =,12,,,,
8/11/2023, 'America MG v Coritiba'],Exit position at minute 15.0 at level odds 1.89 - profit =,0.0312,1.831,0.831,minute =,6,,,,
11/11/2023, 'Houston Dynamo v Real Salt Lake'],Exit position at minute 21.0 at level odds 1.83 - profit =,0.0452,1.747333333,0.747333333,minute =,12,,,,
