"['020224', 'Karlsruhe v Wehen Wiesbaden']",Home lay placed at ,1.8366666666666667,Away back placed at ,4.472166666666667,minute ,6.0
"['020224', 'Karlsruhe v Wehen Wiesbaden']",Exit position at minute 19.0 at level odds 1.98 - profit =,0.0724,1.8366666666666667,awayProfit,0.0041,minute =,6
"['020923', 'FC Cincinnati v Orlando City']",Home lay placed at ,1.8928333333333334,Away back placed at ,4.4275,minute ,6.0
"['020923', 'FC Cincinnati v Orlando City']",Exit position at minute 10.0 on away goal at odds 1.94 - profit =,0.0243,1.8928333333333334,awayProfit,0.00155,minute =,6
Odds spread: ,"['020923', 'FC Cincinnati v Orlando City']",4.4,4.5
"['020923', 'Leicester v Hull']",Home lay placed at ,1.5936666666666668,Away back placed at ,6.013333333333334,minute ,6.0
"['020923', 'Leicester v Hull']",Exit position at minute 15.0 at level odds 2.58 - profit =,0.3823,1.5936666666666668,awayProfit,0.31945,minute =,6
"['021223', 'Atletico MG v Sao Paulo']",Home lay placed at ,1.8045,Away back placed at ,6.3385,minute ,16.0
"['021223', 'Atletico MG v Sao Paulo']",Exit position at minute 26.0 at level odds 1.97 - profit =,0.084,1.8045,awayProfit,0.018575,minute =,16
"['021223', 'Lens v Lyon']",Home lay placed at ,1.932,Away back placed at ,4.79,minute ,10.0
"['021223', 'Lens v Lyon']",Exit position at minute 18.0 on away goal at odds 3.3 - profit =,0.4145,1.932,awayProfit,0.25315,minute =,10
Odds spread: ,"['021223', 'Lens v Lyon']",2.38,2.42
"['030224', 'Peterborough v Wigan']",Home lay placed at ,1.6706666666666665,Away back placed at ,5.59,minute ,6.0
"['030224', 'Peterborough v Wigan']",Exit position at minute 15.0 at level odds 1.64 - profit =,-0.0187,1.6706666666666665,awayProfit,-0.013125,minute =,6
"['030923', 'Girona v Las Palmas']",Home lay placed at ,1.8958333333333333,Away back placed at ,4.733333333333333,minute ,6.0
"['030923', 'Girona v Las Palmas']",Exit position at minute 18.0 at level odds 1.91 - profit =,0.0074,1.8958333333333333,awayProfit,-0.017975,minute =,6
"['030923', 'Hearts v Motherwell']",Home lay placed at ,1.8268333333333333,Away back placed at ,4.7700000000000005,minute ,6.0
"['030923', 'Hearts v Motherwell']",Exit position at minute 15.0 at level odds 1.99 - profit =,0.082,1.8268333333333333,awayProfit,0.048125,minute =,6
"['040224', 'Real Madrid v Atletico Madrid']",Home lay placed at ,1.8223333333333334,Away back placed at ,4.686166666666667,minute ,8.0
"['040224', 'Real Madrid v Atletico Madrid']",Exit position at minute 15.0 at level odds 1.87 - profit =,0.0255,1.8223333333333334,awayProfit,0.01035,minute =,8
"['041223', 'Celta Vigo v Cadiz']",Home lay placed at ,1.6606666666666665,Away back placed at ,6.087666666666667,minute ,6.0
"['041223', 'Celta Vigo v Cadiz']",Exit position at minute 16.0 at level odds 2.57 - profit =,0.3538,1.6606666666666665,awayProfit,0.313675,minute =,6
"['061123', 'Norrkoping v Varbergs BoIS']",Home lay placed at ,1.6173333333333335,Away back placed at ,5.766666666666667,minute ,12.0
"['061123', 'Norrkoping v Varbergs BoIS']",Exit position at minute 34.0 at level odds 1.93 - profit =,0.162,1.6173333333333335,awayProfit,0.070375,minute =,12
"['061223', 'Fiorentina v Parma']",Home lay placed at ,1.5801666666666667,Away back placed at ,6.993333333333333,minute ,8.0
"['061223', 'Fiorentina v Parma']",Exit position at minute 24.0 at level odds 5.5 - profit =,0.7127,1.5801666666666667,awayProfit,0.790675,minute =,8
"['071223', 'Brest v Strasbourg']",Home lay placed at ,1.9906666666666666,Away back placed at ,4.655333333333334,minute ,6.0
"['071223', 'Brest v Strasbourg']",Exit position at minute 15.0 at level odds 2.0 - profit =,0.0047,1.9906666666666666,awayProfit,-0.017225,minute =,6
"['081123', 'America MG v Coritiba']",Home lay placed at ,1.8310000000000002,Away back placed at ,4.736666666666667,minute ,6.0
"['081123', 'America MG v Coritiba']",Exit position at minute 15.0 at level odds 1.89 - profit =,0.0312,1.8310000000000002,awayProfit,0.01315,minute =,6
"['090224', 'Hamburger SV v Hannover']",Home lay placed at ,1.8471666666666666,Away back placed at ,4.352,minute ,6.0
"['090224', 'Hamburger SV v Hannover']",Exit position at minute 14.0 on away goal at odds 3.25 - profit =,0.4316,1.8471666666666666,awayProfit,0.24455,minute =,6
Odds spread: ,"['090224', 'Hamburger SV v Hannover']",2.2,2.24
"['100224', 'Bristol Rovers v Burton Albion']",Home lay placed at ,1.7263333333333333,Away back placed at ,5.416666666666667,minute ,6.0
"['100224', 'Bristol Rovers v Burton Albion']",Exit position at minute 29.0 at level odds 2.04 - profit =,0.1538,1.7263333333333333,awayProfit,0.032125,minute =,6
